;vertex;edge;sccs;mem_sw;mem_peak;mem_algorithm (byte);algorithm
286;10000;69999998;1;1323966464;1324695552;729088;nuutila1_iterative
287;10000;999999;1;38526976;39116800;589824;nuutila1_iterative
288;10000;20000000;1;420843520;424091648;3248128;pearce1
289;10000;69999998;1;1338052608;1341304832;3252224;pearce1
290;10000;999999;1;37728256;40960000;3231744;pearce1
291;10000;20000000;1;429105152;432459776;3354624;nuutila2
292;10000;69999998;1;1329467392;1332822016;3354624;nuutila2
293;10000;999999;1;39178240;42569728;3391488;nuutila2
294;10000;20000000;1;421842944;425095168;3252224;nuutila1
295;10000;69999998;1;1329463296;1332727808;3264512;nuutila1
296;10000;999999;1;40247296;43532288;3284992;nuutila1
297;10000;20000000;1;424292352;427216896;2924544;pearce2
298;10000;69999998;1;1336385536;1339310080;2924544;pearce2
299;10000;999999;1;38240256;41144320;2904064;pearce2
300;10000;20000000;1;421715968;424108032;2392064;tarjan
301;10000;69999998;1;1342869504;1345015808;2146304;tarjan
302;10000;999999;1;40144896;42508288;2363392;tarjan
303;10000;20000000;1;420012032;420630528;618496;nuutila2_iterative
304;10000;69999998;1;1336778752;1337405440;626688;nuutila2_iterative
305;10000;999999;1;38596608;39297024;700416;nuutila2_iterative
306;10000;20000000;1;430256128;430919680;663552;pearce2_iterative
307;10000;69999998;1;1327292416;1327935488;643072;pearce2_iterative
308;10000;999999;1;39542784;40222720;679936;pearce2_iterative
309;10000;20000000;1;423862272;425816064;1953792;boost
310;10000;69999998;1;1335246848;1336946688;1699840;boost
311;10000;999999;1;43155456;45207552;2052096;boost
312;10000;20000000;1;425152512;425820160;667648;nuutila1_iterative
313;10000;69999998;1;1319305216;1319976960;671744;nuutila1_iterative
314;10000;999999;1;38305792;39051264;745472;nuutila1_iterative
315;10000;20000000;1;425414656;428666880;3252224;pearce1
316;10000;69999998;1;1340260352;1343516672;3256320;pearce1
317;10000;999999;1;38817792;42061824;3244032;pearce1
318;10000;20000000;1;427601920;430960640;3358720;nuutila2
319;10000;69999998;1;1334272000;1337626624;3354624;nuutila2
320;10000;999999;1;35381248;38768640;3387392;nuutila2
321;10000;20000000;1;424448000;427700224;3252224;nuutila1
322;10000;69999998;1;1327542272;1330790400;3248128;nuutila1
323;10000;999999;1;39088128;42274816;3186688;nuutila1
324;10000;20000000;1;430411776;433336320;2924544;pearce2
325;10000;69999998;1;1327296512;1330225152;2928640;pearce2
326;10000;999999;1;39796736;42708992;2912256;pearce2
327;10000;20000000;1;419397632;421789696;2392064;tarjan
328;10000;69999998;1;1341562880;1343717376;2154496;tarjan
329;10000;999999;1;42082304;44404736;2322432;tarjan
330;10000;20000000;1;425345024;425967616;622592;nuutila2_iterative
331;10000;69999998;1;1324258475;1334906880;618496;nuutila2_iterative
332;10000;999999;1;39960576;40648704;688128;nuutila2_iterative
333;10000;20000000;1;418750464;419393536;643072;pearce2_iterative
334;10000;69999998;1;1331834880;1332502528;667648;pearce2_iterative
335;10000;999999;1;37457920;38047744;589824;pearce2_iterative
336;10000;20000000;1;431427584;433156096;1728512;boost
337;10000;69999998;1;1332858880;1334562816;1703936;boost
338;10000;999999;1;37986304;39923712;1937408;boost
339;10000;20000000;1;422678528;423329792;651264;nuutila1_iterative
340;10000;69999998;1;1333202944;1333841920;638976;nuutila1_iterative
341;10000;999999;1;38637568;39268352;630784;nuutila1_iterative
342;10000;20000000;1;421916672;425172992;3256320;pearce1
343;10000;69999998;1;1333411840;1336668160;3256320;pearce1
344;10000;999999;1;36913152;40144896;3231744;pearce1
345;10000;20000000;1;426991616;430346240;3354624;nuutila2
346;10000;69999998;1;1327759360;1331113984;3354624;nuutila2
347;10000;999999;1;39383040;42774528;3391488;nuutila2
348;10000;20000000;1;424714240;427966464;3252224;nuutila1
349;10000;69999998;1;1344331776;1347600384;3268608;nuutila1
350;10000;999999;1;36392960;39665664;3272704;nuutila1
351;10000;20000000;1;424349696;427278336;2928640;pearce2
352;10000;69999998;1;1321099264;1324027904;2928640;pearce2
353;10000;999999;1;39063552;41922560;2859008;pearce2
354;10000;20000000;1;423604224;425758720;2154496;tarjan
355;10000;69999998;1;1323855872;1326018560;2162688;tarjan
356;10000;999999;1;40407040;42782720;2375680;tarjan
357;10000;20000000;1;433176576;433799168;622592;nuutila2_iterative
358;10000;69999998;1;1335799808;1336422400;622592;nuutila2_iterative
359;10000;999999;1;36368384;37093376;724992;nuutila2_iterative
360;10000;20000000;1;426209280;426881024;671744;pearce2_iterative
361;10000;69999998;1;1328521216;1329180672;659456;pearce2_iterative
362;10000;999999;1;38293504;39010304;716800;pearce2_iterative
363;10000;20000000;1;426668032;428609536;1941504;boost
364;10000;69999998;1;1327620096;1329336320;1716224;boost
365;10000;999999;1;36700160;38334464;1634304;boost
366;10000;20000000;1;421335040;421994496;659456;nuutila1_iterative
367;10000;69999998;1;1337892864;1338560512;667648;nuutila1_iterative
368;10000;999999;1;36003840;36745216;741376;nuutila1_iterative
369;10000;20000000;1;426930176;430194688;3264512;pearce1
370;10000;69999998;1;1334685696;1337942016;3256320;pearce1
371;10000;999999;1;36634624;39870464;3235840;pearce1
372;10000;20000000;1;425230336;428589056;3358720;nuutila2
373;10000;69999998;1;1336107008;1339461632;3354624;nuutila2
374;10000;999999;1;37675008;41062400;3387392;nuutila2
375;10000;20000000;1;427712512;430956544;3244032;nuutila1
376;10000;69999998;1;1339703296;1342959616;3256320;nuutila1
377;10000;999999;1;40869888;44101632;3231744;nuutila1
378;5000;5000000;1;125751296;127205376;1454080;pearce2
379;5000;17499999;1;367980544;369463296;1482752;pearce2
380;5000;249999;1;12812288;14209024;1396736;pearce2
381;5000;5000000;1;119640064;120832000;1191936;tarjan
382;5000;17499999;1;359596032;360681472;1085440;tarjan
383;5000;249999;1;12705792;13819904;1114112;tarjan
384;5000;5000000;1;128569344;128905216;335872;nuutila2_iterative
385;5000;17499999;1;369098752;369496064;397312;nuutila2_iterative
386;5000;249999;1;13324288;13410304;86016;nuutila2_iterative
387;5000;5000000;1;122368000;122712064;344064;pearce2_iterative
388;5000;17499999;1;358264832;358621184;356352;pearce2_iterative
389;5000;249999;1;12611584;12890112;278528;pearce2_iterative
390;5000;5000000;1;120213504;121274368;1060864;boost
391;5000;17499999;1;363106304;364146688;1040384;boost
392;5000;249999;1;12304384;13389824;1085440;boost
393;5000;5000000;1;119959552;120303616;344064;nuutila1_iterative
394;5000;17499999;1;360308736;360677376;368640;nuutila1_iterative
395;5000;249999;1;11984896;12337152;352256;nuutila1_iterative
396;5000;5000000;1;121479168;123101184;1622016;pearce1
397;5000;17499999;1;370376704;372019200;1642496;pearce1
398;5000;249999;1;13262848;14852096;1589248;pearce1
399;5000;5000000;1;119164928;120840192;1675264;nuutila2
400;5000;17499999;1;366460928;368136192;1675264;nuutila2
401;5000;249999;1;13221888;14893056;1671168;nuutila2
402;5000;5000000;1;121516032;123146240;1630208;nuutila1
403;5000;17499999;1;370176000;371851264;1675264;nuutila1
404;5000;249999;1;12292096;13897728;1605632;nuutila1
405;5000;5000000;1;120135680;121581568;1445888;pearce2
406;5000;17499999;1;362737664;364208128;1470464;pearce2
407;5000;249999;1;12697600;14118912;1421312;pearce2
408;5000;5000000;1;128724992;129921024;1196032;tarjan
409;5000;17499999;1;369692672;370769920;1077248;tarjan
410;5000;249999;1;11403264;12566528;1163264;tarjan
411;5000;5000000;1;116563968;116944896;380928;nuutila2_iterative
412;5000;17499999;1;356528128;356851712;323584;nuutila2_iterative
413;5000;249999;1;11403264;11763712;360448;nuutila2_iterative
414;5000;5000000;1;126275584;126595072;319488;pearce2_iterative
415;5000;17499999;1;368107520;368414720;307200;pearce2_iterative
416;5000;249999;1;11636736;11976704;339968;pearce2_iterative
417;5000;5000000;1;115671040;116535296;864256;boost
418;5000;17499999;1;354398208;355360768;962560;boost
419;5000;249999;1;12148736;13209600;1060864;boost
420;5000;5000000;1;120942592;121331712;389120;nuutila1_iterative
421;5000;17499999;1;383922176;384323584;401408;nuutila1_iterative
422;5000;249999;1;11665408;12021760;356352;nuutila1_iterative
423;5000;5000000;1;126894080;128516096;1622016;pearce1
424;5000;17499999;1;364335104;365981696;1646592;pearce1
425;5000;249999;1;12062720;13656064;1593344;pearce1
426;5000;5000000;1;113451008;115126272;1675264;nuutila2
427;5000;17499999;1;362946560;364662784;1716224;nuutila2
428;5000;249999;1;11403264;13074432;1671168;nuutila2
429;5000;5000000;1;116998144;118624256;1626112;nuutila1
430;5000;17499999;1;367661056;369278976;1617920;nuutila1
431;5000;249999;1;11522048;13144064;1622016;nuutila1
432;5000;5000000;1;122626048;124100608;1474560;pearce2
433;5000;17499999;1;355987456;357441536;1454080;pearce2
434;5000;249999;1;12996608;14393344;1396736;pearce2
435;5000;5000000;1;117510144;118665216;1155072;tarjan
436;5000;17499999;1;371535872;372699136;1163264;tarjan
437;5000;249999;1;11403264;12566528;1163264;tarjan
438;5000;5000000;1;120844288;121180160;335872;nuutila2_iterative
439;5000;17499999;1;375615488;375951360;335872;nuutila2_iterative
440;5000;249999;1;13369344;13725696;356352;nuutila2_iterative
441;5000;5000000;1;121339904;121692160;352256;pearce2_iterative
442;5000;17499999;1;363356160;363720704;364544;pearce2_iterative
443;5000;249999;1;12156928;12214272;57344;pearce2_iterative
444;5000;5000000;1;120967168;122023936;1056768;boost
445;5000;17499999;1;367767552;368635904;868352;boost
446;5000;249999;1;12111872;13209600;1097728;boost
447;5000;5000000;1;121335808;121696256;360448;nuutila1_iterative
448;5000;17499999;1;391905280;392269824;364544;nuutila1_iterative
449;5000;249999;1;11620352;11694080;73728;nuutila1_iterative
450;5000;5000000;1;127086592;128704512;1617920;pearce1
451;5000;17499999;1;372822016;374444032;1622016;pearce1
452;5000;249999;1;12607488;14196736;1589248;pearce1
453;5000;5000000;1;129110016;130822144;1712128;nuutila2
454;5000;17499999;1;366198784;367915008;1716224;nuutila2
455;5000;249999;1;12443648;14106624;1662976;nuutila2
456;5000;5000000;1;124592128;126210048;1617920;nuutila1
457;5000;17499999;1;380899328;382558208;1658880;nuutila1
458;5000;249999;1;12746752;14340096;1593344;nuutila1
459;5000;5000000;1;121729024;123174912;1445888;pearce2
460;5000;17499999;1;357269504;358735872;1466368;pearce2
461;5000;249999;1;11403264;12828672;1425408;pearce2
462;5000;5000000;1;134377472;135569408;1191936;tarjan
463;5000;17499999;1;379248640;380321792;1073152;tarjan
464;5000;249999;1;12902400;14069760;1167360;tarjan
465;5000;5000000;1;127938560;128307200;368640;nuutila2_iterative
466;5000;17499999;1;388177920;388497408;319488;nuutila2_iterative
467;5000;249999;1;11403264;11763712;360448;nuutila2_iterative
468;5000;5000000;1;127705088;128032768;327680;pearce2_iterative
469;5000;17499999;1;362684416;363028480;344064;pearce2_iterative
470;5000;249999;1;13144064;13479936;335872;pearce2_iterative
471;5000;5000000;1;128598016;129482752;884736;boost
472;5000;17499999;1;370053120;370913280;860160;boost
473;5000;249999;1;11403264;12505088;1101824;boost
474;5000;5000000;1;128577536;128884736;307200;nuutila1_iterative
475;5000;17499999;1;370839552;371236864;397312;nuutila1_iterative
476;5000;249999;1;11403264;11763712;360448;nuutila1_iterative
477;5000;5000000;1;125722624;127336448;1613824;pearce1
478;5000;17499999;1;363974656;365592576;1617920;pearce1
479;5000;249999;1;11931648;13492224;1560576;pearce1
480;5000;5000000;1;122494976;124186624;1691648;nuutila2
481;5000;17499999;1;363175936;364855296;1679360;nuutila2
482;5000;249999;1;11403264;13074432;1671168;nuutila2
