V,E,sccs,boost,boostCorrected,tarjan_map,tarjan_mapCorrected,nuutila1_map,nuutila1_mapCorrected,nuutila1_iterative,nuutila1_iterativeCorrected,nuutila2_map,nuutila2_mapCorrected,nuutila2_iterative,nuutila2_iterativeCorrected,pearce1_map,pearce1_mapCorrected,pearce2_map,pearce2_mapCorrected,pearce2_iterative,pearce2_iterativeCorrected
10,16,3,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
10,18,4,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
10,20,3,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
10,22,2,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
10,24,7,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
10,26,2,1,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
10,28,4,1,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
11,1,11,2,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
11,3,11,1,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
11,6,11,1,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
11,8,11,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
11,10,11,1,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
11,13,6,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
11,15,6,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
11,18,10,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
11,20,5,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
11,22,2,1,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
11,25,2,1,v,1,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
11,27,4,1,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
11,30,1,1,v,1,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
11,32,1,1,v,2,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
11,35,3,1,v,2,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
12,1,12,2,v,1,v,1,v,1,v,1,v,1,X,0,v,0,v,1,v
12,4,12,2,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
12,7,12,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
12,10,12,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
12,12,11,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
12,15,10,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
12,18,8,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
12,21,8,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
12,24,6,2,v,2,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
12,27,1,1,v,2,v,1,v,2,v,1,v,3,X,1,v,1,v,2,v
12,30,2,1,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
12,33,2,2,v,2,v,1,v,3,v,1,X,4,X,1,v,1,v,3,v
12,35,1,1,v,2,v,1,v,3,v,1,v,3,X,1,v,1,v,3,v
12,38,3,2,v,2,v,2,v,3,v,1,X,3,X,1,v,1,v,3,v
12,41,1,2,v,2,v,2,v,3,v,1,v,4,X,1,v,1,v,3,v
13,1,13,2,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
13,5,13,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,1,v
13,8,12,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
13,11,13,2,v,1,v,1,v,2,v,1,v,2,X,1,v,0,v,2,v
13,15,12,2,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,18,8,2,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,21,3,1,v,1,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
13,25,5,2,v,1,v,2,v,2,v,1,X,3,X,1,v,1,v,2,v
13,28,3,2,v,2,v,1,v,2,v,2,X,3,X,1,v,1,v,3,v
13,32,3,2,v,2,v,2,v,2,v,1,X,3,X,1,v,1,v,3,v
13,35,3,2,v,2,v,2,v,3,v,1,X,4,X,1,v,1,v,3,v
13,38,2,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,42,1,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,45,1,2,v,2,v,2,v,3,v,1,v,3,X,1,v,1,v,3,v
13,49,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
14,1,14,2,v,1,v,1,v,1,v,1,v,1,X,1,v,0,v,1,v
14,5,14,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
14,9,14,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,1,v
14,13,11,2,v,1,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
14,17,9,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,21,9,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,25,11,2,v,2,v,1,v,2,v,1,X,3,X,1,v,1,v,2,v
14,29,7,2,v,2,v,2,v,3,v,2,X,3,X,1,v,1,v,3,v
14,33,4,2,v,2,v,2,v,2,v,2,X,3,X,1,v,1,v,3,v
14,37,1,2,v,2,v,2,v,3,v,1,v,4,X,1,v,1,v,3,v
14,41,5,2,v,2,v,2,v,3,v,2,v,3,X,1,v,1,v,3,v
14,45,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
14,48,1,2,v,2,v,2,v,3,v,2,v,4,X,2,v,1,v,3,v
14,52,2,2,v,2,v,2,v,3,v,2,X,4,X,2,v,1,v,3,v
14,56,1,2,v,2,v,2,v,4,v,2,v,4,X,1,v,1,v,4,v
15,2,15,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
15,6,15,2,v,1,v,1,v,1,v,1,v,2,X,1,v,0,v,1,v
15,11,15,2,v,1,v,1,v,2,v,1,v,2,X,1,v,1,v,2,v
15,15,14,2,v,2,v,1,v,2,v,1,X,2,X,1,v,1,v,2,v
